Age Group,AI Expertise,Question Number,Scenario,Options,Mapping,Weight,Ethical Score
40-59,Beginner,7,For travel planning,B – Use a travel agent or plan yourself.,Low-impact conscious use,5-6,1
40-59,Beginner,7,For travel planning,"C – Use AI for destination ideas, book yourself.",Balanced AI use,3-4,2
40-59,Beginner,8,For shopping assistance,A – Read reviews and ask family for recommendations.,Low-impact conscious use,5-6,1
40-59,Beginner,8,For shopping assistance,B – Let AI make all your shopping decisions.,High AI impact,1-2,0
40-59,Beginner,8,For shopping assistance,"C – Use AI for product comparisons, decide yourself.",Balanced AI use,3-4,2
40-59,Beginner,9,For managing finances,A – Work with a financial advisor.,Low-impact conscious use,5-6,2
40-59,Beginner,9,For managing finances,"B – Use AI for budgeting tools, make decisions yourself.",Balanced AI use,3-4,1
40-59,Beginner,9,For managing finances,C – Let AI handle all your financial decisions.,High AI impact,1-2,0
40-59,Beginner,10,For navigation help,A – Use GPS with AI traffic updates.,Balanced AI use,3-4,2
40-59,Beginner,10,For navigation help,B – Use a map and your own judgement.,Low-impact conscious use,5-6,1
40-59,Beginner,10,For navigation help,C – Use full AI-powered autonomous navigation.,High AI impact,1-2,0
40-59,Beginner,11,For home repair advice,A – Ask AI for all home repair solutions.,High AI impact,1-2,0
40-59,Beginner,11,For home repair advice,"B – Use AI to understand the problem, hire a professional.",Balanced AI use,3-4,1
40-59,Beginner,11,For home repair advice,C – Call a tradesperson directly.,Low-impact conscious use,5-6,2
40-59,Beginner,12,For managing work emails,"A – Use AI to draft difficult replies, review and send yourself.",Balanced AI use,3-4,1
40-59,Beginner,12,For managing work emails,B – Write and manage all emails yourself.,Low-impact conscious use,5-6,2
40-59,Beginner,12,For managing work emails,C – Let AI write and respond to all emails.,High AI impact,1-2,0
40-59,Beginner,13,For fitness tracking,"A – Use a fitness app for tracking, set your own goals.",Balanced AI use,3-4,2
40-59,Beginner,13,For fitness tracking,B – Let AI plan all exercise and diet for you.,High AI impact,1-2,0
40-59,Beginner,13,For fitness tracking,C – Track exercise yourself with a notebook.,Low-impact conscious use,5-6,1
40-59,Beginner,14,For understanding the news,A – Read trusted newspapers and watch news channels.,Low-impact conscious use,5-6,1
40-59,Beginner,14,For understanding the news,B – Ask AI to summarise all news.,High AI impact,1-2,0
40-59,Beginner,14,For understanding the news,C – Use AI to explain complex news stories.,Balanced AI use,3-4,2
40-59,Beginner,15,For gardening advice,A – Ask AI for all gardening decisions.,High AI impact,1-2,0
40-59,Beginner,15,For gardening advice,"B – Use AI for plant care tips, apply your own judgement.",Balanced AI use,3-4,2
40-59,Beginner,15,For gardening advice,C – Join a local gardening club and learn hands-on.,Low-impact conscious use,5-6,1
40-59,Beginner,16,For managing stress,A – Talk to your GP or a trusted friend.,Low-impact conscious use,5-6,2
40-59,Beginner,16,For managing stress,"B – Use AI for relaxation techniques, also talk to people.",Balanced AI use,3-4,1
40-59,Beginner,16,For managing stress,C – Use an AI app as your sole stress management.,High AI impact,1-2,0
40-59,Beginner,17,For learning new digital skills,A – Use AI to handle all digital tasks for you.,High AI impact,1-2,0
40-59,Beginner,17,For learning new digital skills,B – Take a local IT course or ask family for help.,Low-impact conscious use,5-6,1
40-59,Beginner,17,For learning new digital skills,C – Use AI for step-by-step guidance.,Balanced AI use,3-4,2
40-59,Beginner,18,For home organisation,A – Let AI plan all your home routines.,High AI impact,1-2,0
40-59,Beginner,18,For home organisation,B – Organise your home your own way.,Low-impact conscious use,5-6,1
40-59,Beginner,18,For home organisation,"C – Use AI for organisation ideas, implement yourself.",Balanced AI use,3-4,2
40-59,Beginner,19,For understanding ai safety,A – Ask AI to manage all your online safety.,High AI impact,1-2,0
40-59,Beginner,19,For understanding ai safety,B – Use AI to learn about digital safety topics.,Balanced AI use,3-4,2
40-59,Beginner,19,For understanding ai safety,C – Attend a local digital safety workshop.,Low-impact conscious use,5-6,1
40-59,Beginner,20,For entertainment choices,A – Let AI choose everything you watch and read.,High AI impact,1-2,0
40-59,Beginner,20,For entertainment choices,B – Ask friends and read reviews.,Low-impact conscious use,5-6,1
40-59,Beginner,20,For entertainment choices,"C – Use AI for recommendations, choose yourself.",Balanced AI use,3-4,2
40-59,Intermediate,1,For work automation,A – Automate all work processes with AI.,High AI impact,1-2,0
40-59,Intermediate,1,For work automation,B – Handle all work processes with your own expertise.,Low-impact conscious use,5-6,1
40-59,Intermediate,1,For work automation,"C – Use AI to automate routine tasks, lead strategic work.",Balanced AI use,3-4,2
40-59,Intermediate,2,For financial planning,A – Let AI make all investment and saving decisions.,High AI impact,1-2,0
40-59,Intermediate,2,For financial planning,"B – Use AI for market analysis, make all decisions yourself.",Balanced AI use,3-4,1
40-59,Intermediate,2,For financial planning,C – Work with a financial advisor for all planning.,Low-impact conscious use,5-6,2
40-59,Intermediate,3,For managing a team,"A – Use AI for scheduling and data, lead the team yourself.",Balanced AI use,3-4,1
40-59,Intermediate,3,For managing a team,B – Use AI to manage all team communication.,High AI impact,1-2,0
40-59,Intermediate,3,For managing a team,C – Manage the team entirely with your own judgement.,Low-impact conscious use,5-6,2
40-59,Intermediate,4,For business strategy,A – Let AI generate all your business strategy.,High AI impact,1-2,0
40-59,Intermediate,4,For business strategy,"B – Use AI for market data, apply your own expertise.",Balanced AI use,3-4,1
40-59,Intermediate,4,For business strategy,C – Develop strategy entirely from your own experience.,Low-impact conscious use,5-6,2
40-59,Intermediate,5,For training new staff,A – Train staff personally from your own experience.,Low-impact conscious use,5-6,2
40-59,Intermediate,5,For training new staff,B – Use AI to deliver all staff training.,High AI impact,1-2,0
40-59,Intermediate,5,For training new staff,"C – Use AI for content, deliver training yourself.",Balanced AI use,3-4,1
40-59,Intermediate,6,For managing projects,"A – Use AI for timelines and reporting, you lead.",Balanced AI use,3-4,2
40-59,Intermediate,6,For managing projects,B – Manage all projects with your own tools.,Low-impact conscious use,5-6,1
40-59,Intermediate,6,For managing projects,C – Use AI to manage all project decisions.,High AI impact,1-2,0
40-59,Intermediate,7,For professional development,"A – Use AI for course recommendations, decide yourself.",Balanced AI use,3-4,1
40-59,Intermediate,7,For professional development,B – Plan your development through mentors and experience.,Low-impact conscious use,5-6,2
40-59,Intermediate,7,For professional development,C – Let AI plan all your professional growth.,High AI impact,1-2,0
40-59,Intermediate,8,For understanding market trends,A – Use AI to interpret all market data for you.,High AI impact,1-2,0
40-59,Intermediate,8,For understanding market trends,B – Read industry reports and talk to peers.,Low-impact conscious use,5-6,1
40-59,Intermediate,8,For understanding market trends,"C – Use AI for data gathering, interpret the data yourself.",Balanced AI use,3-4,2
40-59,Intermediate,9,For managing chronic conditions,"A – Use AI to track symptoms, consult your doctor.",Balanced AI use,3-4,1
40-59,Intermediate,9,For managing chronic conditions,B – Manage with your doctor and established routines.,Low-impact conscious use,5-6,2
40-59,Intermediate,9,For managing chronic conditions,C – Use AI to make all health management decisions.,High AI impact,1-2,0
40-59,Intermediate,10,For community involvement,"A – Use AI for draft communications, review and personalise.",Balanced AI use,3-4,1
40-59,Intermediate,10,For community involvement,"B – Engage with your community authentically, no AI.",Low-impact conscious use,5-6,2
40-59,Intermediate,10,For community involvement,C – Use AI to write all community communications.,High AI impact,1-2,0
40-59,Intermediate,11,For career transitions,"A – Use AI for job market research, decide yourself.",Balanced AI use,3-4,1
40-59,Intermediate,11,For career transitions,B – Work with a career coach and trusted mentors.,Low-impact conscious use,5-6,2
40-59,Intermediate,11,For career transitions,C – Let AI plan your entire career change.,High AI impact,1-2,0
40-59,Intermediate,12,For small business management,A – Run the business using your expertise and judgement.,Low-impact conscious use,5-6,1
40-59,Intermediate,12,For small business management,B – Automate all business operations with AI.,High AI impact,1-2,0
40-59,Intermediate,12,For small business management,"C – Use AI for admin tasks, lead the business yourself.",Balanced AI use,3-4,2
40-59,Intermediate,13,For elder care planning,A – Let AI make all elder care decisions.,High AI impact,1-2,0
40-59,Intermediate,13,For elder care planning,"B – Use AI to research care options, decide with family.",Balanced AI use,3-4,1
40-59,Intermediate,13,For elder care planning,C – Consult specialists and decide with your family.,Low-impact conscious use,5-6,2
40-59,Intermediate,14,For retirement planning,"A – Use AI for projections, decide with a financial advisor.",Balanced AI use,3-4,1
40-59,Intermediate,14,For retirement planning,B – Plan retirement with a professional advisor.,Low-impact conscious use,5-6,2
40-59,Intermediate,14,For retirement planning,C – Let AI manage all your retirement finances.,High AI impact,1-2,0
40-59,Intermediate,15,For wellbeing and mindfulness,"A – Use AI for guided practices, prioritise human connection.",Balanced AI use,3-4,1
40-59,Intermediate,15,For wellbeing and mindfulness,B – Focus on relationships and professional guidance.,Low-impact conscious use,5-6,2
40-59,Intermediate,15,For wellbeing and mindfulness,C – Use an AI wellness app as your only approach.,High AI impact,1-2,0
40-59,Intermediate,16,For real estate decisions,"A – Use AI for market data, decide with an estate agent.",Balanced AI use,3-4,2
40-59,Intermediate,16,For real estate decisions,B – Work with a trusted agent and decide yourself.,Low-impact conscious use,5-6,1
40-59,Intermediate,16,For real estate decisions,C – Let AI make all property decisions.,High AI impact,1-2,0
40-59,Intermediate,17,For parenting teenagers,A – Use AI for all parenting guidance.,High AI impact,1-2,0
40-59,Intermediate,17,For parenting teenagers,B – Talk directly to your teenager and seek family support.,Low-impact conscious use,5-6,2
40-59,Intermediate,17,For parenting teenagers,"C – Use AI for tips, apply your own judgement.",Balanced AI use,3-4,1
40-59,Intermediate,18,For content creation for work,A – Create all work content yourself.,Low-impact conscious use,5-6,2
40-59,Intermediate,18,For content creation for work,"B – Use AI for structure, write in your own words.",Balanced AI use,3-4,1
40-59,Intermediate,18,For content creation for work,C – Use AI to create all work presentations.,High AI impact,1-2,0
40-59,Intermediate,19,For learning new digital tools,A – Attend a training session or learn with a colleague.,Low-impact conscious use,5-6,1
40-59,Intermediate,19,For learning new digital tools,"B – Use AI for tutorials, learn the tools yourself.",Balanced AI use,3-4,2
40-59,Intermediate,19,For learning new digital tools,C – Use AI to handle all new tools for you.,High AI impact,1-2,0
40-59,Intermediate,20,For exploring new career options,A – Let AI decide your next career move.,High AI impact,1-2,0
40-59,Intermediate,20,For exploring new career options,B – Talk to mentors and people working in the field.,Low-impact conscious use,5-6,2
40-59,Intermediate,20,For exploring new career options,"C – Use AI for research, trust your own instincts.",Balanced AI use,3-4,1
40-59,Expert,1,For ai strategy for business,A – Deploy AI across all operations immediately.,High AI impact,1-2,0
40-59,Expert,1,For ai strategy for business,B – Define clear outcomes before any AI adoption.,Low-impact conscious use,5-6,2
40-59,Expert,1,For ai strategy for business,C – Identify high-value use cases and pilot carefully.,Balanced AI use,3-4,1
40-59,Expert,2,For data-driven decision making,A – Use data as one input alongside expertise and judgement.,Low-impact conscious use,5-6,2
40-59,Expert,2,For data-driven decision making,"B – Use AI for analysis, you make the final call.",Balanced AI use,3-4,1
40-59,Expert,2,For data-driven decision making,C – Let AI make all business decisions.,High AI impact,1-2,0
40-59,Expert,3,For building ai workflows,A – Automate every workflow with AI immediately.,High AI impact,1-2,0
40-59,Expert,3,For building ai workflows,B – Map manual workflows fully before automating any.,Low-impact conscious use,5-6,2
40-59,Expert,3,For building ai workflows,C – Automate specific workflows where ROI is clear.,Balanced AI use,3-4,1
40-59,Expert,4,For leading ai adoption,A – Pilot with a willing team and learn before scaling.,Balanced AI use,3-4,1
40-59,Expert,4,For leading ai adoption,B – Build AI literacy across the organisation first.,Low-impact conscious use,5-6,2
40-59,Expert,4,For leading ai adoption,C – Roll out AI to every team at once.,High AI impact,1-2,0
40-59,Expert,5,For machine learning for business,A – Use the largest ML model for every problem.,High AI impact,1-2,0
40-59,Expert,5,For machine learning for business,B – Use ML only where simpler methods clearly fall short.,Low-impact conscious use,5-6,2
40-59,Expert,5,For machine learning for business,C – Select the minimal model that solves the business need.,Balanced AI use,3-4,1
40-59,Expert,6,For automating business processes,A – Automate every process without reviewing them.,High AI impact,1-2,0
40-59,Expert,6,For automating business processes,"B – Automate high-volume, low-judgement processes first.",Balanced AI use,3-4,1
40-59,Expert,6,For automating business processes,C – Audit every process thoroughly before any automation.,Low-impact conscious use,5-6,2
40-59,Expert,7,For ai in product management,A – Set roadmap from direct customer insight and strategy.,Low-impact conscious use,5-6,2
40-59,Expert,7,For ai in product management,"B – Use AI for customer data analysis, you set direction.",Balanced AI use,3-4,1
40-59,Expert,7,For ai in product management,C – Use AI to make all product roadmap decisions.,High AI impact,1-2,0
40-59,Expert,8,For evaluating ai tools,A – Test rigorously against your current benchmark first.,Low-impact conscious use,5-6,2
40-59,Expert,8,For evaluating ai tools,B – Adopt every new AI tool as it launches.,High AI impact,1-2,0
40-59,Expert,8,For evaluating ai tools,C – Evaluate tools against specific business criteria.,Balanced AI use,3-4,1
40-59,Expert,9,For managing ai ethics,A – Develop and enforce internal AI ethics principles.,Low-impact conscious use,5-6,2
40-59,Expert,9,For managing ai ethics,B – Delegate all AI ethics to a third party.,High AI impact,1-2,0
40-59,Expert,9,For managing ai ethics,C – Embed ethical review into your own product process.,Balanced AI use,3-4,1
40-59,Expert,10,For large-scale data analysis,A – Run AI on all data without curation.,High AI impact,1-2,0
40-59,Expert,10,For large-scale data analysis,B – Curate relevant datasets and validate AI outputs.,Balanced AI use,3-4,1
40-59,Expert,10,For large-scale data analysis,C – Perform targeted analysis with expert interpretation.,Low-impact conscious use,5-6,2
40-59,Expert,11,For predictive analytics,A – Validate predictions against domain expertise before acting.,Low-impact conscious use,5-6,2
40-59,Expert,11,For predictive analytics,B – Run AI predictions on everything automatically.,High AI impact,1-2,0
40-59,Expert,11,For predictive analytics,C – Use predictive models for specific high-value decisions.,Balanced AI use,3-4,1
40-59,Expert,12,For customer segmentation,A – Use AI to segment all customers automatically.,High AI impact,1-2,0
40-59,Expert,12,For customer segmentation,B – Segment manually based on your customer understanding.,Low-impact conscious use,5-6,1
40-59,Expert,12,For customer segmentation,"C – Use AI for initial clustering, validate with domain knowledge.",Balanced AI use,3-4,2
40-59,Expert,13,For ai governance,A – Outsource all AI governance to a third party.,High AI impact,1-2,0
40-59,Expert,13,For ai governance,B – Establish governance before any AI system goes live.,Low-impact conscious use,5-6,2
40-59,Expert,13,For ai governance,C – Build an internal governance framework with clear ownership.,Balanced AI use,3-4,1
40-59,Expert,14,For financial modelling with ai,"A – Build all models yourself, AI only for sense-checking.",Low-impact conscious use,5-6,2
40-59,Expert,14,For financial modelling with ai,"B – Use AI to accelerate modelling, validate every assumption.",Balanced AI use,3-4,1
40-59,Expert,14,For financial modelling with ai,C – Let AI run all financial models.,High AI impact,1-2,0
40-59,Expert,15,For training internal ai systems,A – Define success criteria rigorously before training.,Low-impact conscious use,5-6,2
40-59,Expert,15,For training internal ai systems,B – Train on all available company data.,High AI impact,1-2,0
40-59,Expert,15,For training internal ai systems,C – Identify minimum data needed to solve the specific problem.,Balanced AI use,3-4,1
40-59,Expert,16,For ai in healthcare management,A – Automate all clinical decision support.,High AI impact,1-2,0
40-59,Expert,16,For ai in healthcare management,"B – Clinician-led decisions, AI as a documentation tool only.",Low-impact conscious use,5-6,2
40-59,Expert,16,For ai in healthcare management,"C – Use AI for admin and scheduling, clinicians lead clinical decisions.",Balanced AI use,3-4,1
40-59,Expert,17,For supply chain optimisation,"A – Use AI for demand forecasting, managers handle disruptions.",Balanced AI use,3-4,1
40-59,Expert,17,For supply chain optimisation,B – Use expertise and supplier relationships to manage supply.,Low-impact conscious use,5-6,2
40-59,Expert,17,For supply chain optimisation,C – Use AI to make all supply chain decisions.,High AI impact,1-2,0
40-59,Expert,18,For building ai teams,"A – Build teams with deep domain expertise first, AI skills second.",Low-impact conscious use,5-6,2
40-59,Expert,18,For building ai teams,B – Hire for AI literacy across diverse roles with human oversight.,Balanced AI use,3-4,1
40-59,Expert,18,For building ai teams,C – Replace as many roles as possible with AI.,High AI impact,1-2,0
40-59,Expert,19,For ai for risk management,A – Use expert frameworks and stress-test with AI scenarios.,Low-impact conscious use,5-6,2
40-59,Expert,19,For ai for risk management,B – Automate all risk decisions with AI.,High AI impact,1-2,0
40-59,Expert,19,For ai for risk management,"C – Use AI for risk scanning, human judgement for assessment.",Balanced AI use,3-4,1
40-59,Expert,20,For digital transformation leadership,"A – Change management first, technology second.",Low-impact conscious use,5-6,2
40-59,Expert,20,For digital transformation leadership,B – Automate all business processes at once.,High AI impact,1-2,0
40-59,Expert,20,For digital transformation leadership,C – Sequence transformation around business-critical areas.,Balanced AI use,3-4,1
60+,Beginner,1,For staying in touch with family,"A – Use AI to help draft a message, send it yourself.",Balanced AI use,3-4,1
60+,Beginner,1,For staying in touch with family,"B – Call, text, and visit family directly.",Low-impact conscious use,5-6,2
60+,Beginner,1,For staying in touch with family,C – Use AI to write and send all your messages.,High AI impact,1-2,0
60+,Beginner,2,For getting health information,A – Call your GP or pharmacist directly.,Low-impact conscious use,5-6,2
60+,Beginner,2,For getting health information,B – Ask AI for all health diagnoses.,High AI impact,1-2,0
60+,Beginner,2,For getting health information,"C – Use AI to understand symptoms, then call your GP.",Balanced AI use,3-4,1
60+,Beginner,3,For understanding medication,A – Ask your pharmacist or doctor directly.,Low-impact conscious use,5-6,2
60+,Beginner,3,For understanding medication,B – Ask AI for all medication advice.,High AI impact,1-2,0
60+,Beginner,3,For understanding medication,"C – Use AI to understand what medications do, confirm with your pharmacist.",Balanced AI use,3-4,1
60+,Beginner,4,For finding recipes,A – Use AI when you can't think of anything to cook.,Balanced AI use,3-4,2
60+,Beginner,4,For finding recipes,B – Ask AI for every meal every day.,High AI impact,1-2,0
60+,Beginner,4,For finding recipes,C – Use cookbooks and family recipes you know.,Low-impact conscious use,5-6,1
60+,Beginner,5,For managing daily reminders,A – Let AI manage all your reminders.,High AI impact,1-2,0
60+,Beginner,5,For managing daily reminders,B – Write reminders on paper or in a diary.,Low-impact conscious use,5-6,1
60+,Beginner,5,For managing daily reminders,C – Use an AI assistant alongside your own methods.,Balanced AI use,3-4,2
60+,Beginner,6,For understanding the news,A – Use AI to explain a complex story you've seen.,Balanced AI use,3-4,2
60+,Beginner,6,For understanding the news,B – Ask AI to summarise all news.,High AI impact,1-2,0
60+,Beginner,6,For understanding the news,C – Watch the news on TV or read a trusted newspaper.,Low-impact conscious use,5-6,1
60+,Beginner,7,For watching videos and entertainment,"A – Use AI for suggestions, choose what interests you.",Balanced AI use,3-4,2
60+,Beginner,7,For watching videos and entertainment,B – Ask family or friends what to watch.,Low-impact conscious use,5-6,1
60+,Beginner,7,For watching videos and entertainment,C – Let AI choose everything you watch.,High AI impact,1-2,0
60+,Beginner,8,For shopping assistance,"A – Use AI for price comparisons, decide yourself.",Balanced AI use,3-4,2
60+,Beginner,8,For shopping assistance,B – Let AI make all your shopping decisions.,High AI impact,1-2,0
60+,Beginner,8,For shopping assistance,"C – Shop as you always have, ask for help when needed.",Low-impact conscious use,5-6,1
60+,Beginner,9,For learning basic smartphone use,A – Use AI to learn how to do things step by step.,Balanced AI use,3-4,2
60+,Beginner,9,For learning basic smartphone use,B – Ask a family member or go to a digital help session.,Low-impact conscious use,5-6,1
60+,Beginner,9,For learning basic smartphone use,C – Let AI control your phone for you.,High AI impact,1-2,0
60+,Beginner,10,For simple language translation,A – Use a phrasebook or ask someone who speaks the language.,Low-impact conscious use,5-6,1
60+,Beginner,10,For simple language translation,B – Use AI to translate all conversations.,High AI impact,1-2,0
60+,Beginner,10,For simple language translation,C – Use AI for a key phrase or word when needed.,Balanced AI use,3-4,2
60+,Beginner,11,For listening to audiobooks,A – Let AI summarise all books for you.,High AI impact,1-2,0
60+,Beginner,11,For listening to audiobooks,B – Ask your library or local bookshop for suggestions.,Low-impact conscious use,5-6,1
60+,Beginner,11,For listening to audiobooks,C – Use AI to find audiobooks you'll enjoy.,Balanced AI use,3-4,2
60+,Beginner,12,For managing finances simply,A – Use AI to understand a bill or statement.,Balanced AI use,3-4,1
60+,Beginner,12,For managing finances simply,B – Let AI make all your financial decisions.,High AI impact,1-2,0
60+,Beginner,12,For managing finances simply,"C – Work with your bank, family, or a financial advisor.",Low-impact conscious use,5-6,2
60+,Beginner,13,For remembering important dates,A – Let AI track all important dates for you.,High AI impact,1-2,0
60+,Beginner,13,For remembering important dates,B – Use AI as a reminder tool alongside your own calendar.,Balanced AI use,3-4,2
60+,Beginner,13,For remembering important dates,C – Write important dates in a paper diary.,Low-impact conscious use,5-6,1
60+,Beginner,14,For understanding government services,"A – Use AI to understand a letter or form, confirm with the office.",Balanced AI use,3-4,1
60+,Beginner,14,For understanding government services,B – Ask AI for all government service information.,High AI impact,1-2,0
60+,Beginner,14,For understanding government services,C – Call or visit the relevant government office directly.,Low-impact conscious use,5-6,2
60+,Beginner,15,For getting emergency help,A – Rely on AI for all emergency guidance.,High AI impact,1-2,0
60+,Beginner,15,For getting emergency help,B – Know the emergency numbers and call directly.,Low-impact conscious use,5-6,2
60+,Beginner,15,For getting emergency help,"C – Use AI for non-urgent help, know emergency numbers.",Balanced AI use,3-4,1
60+,Beginner,16,For learning about current events,A – Ask AI for a full daily news briefing.,High AI impact,1-2,0
60+,Beginner,16,For learning about current events,B – Watch local news or read a newspaper.,Low-impact conscious use,5-6,1
60+,Beginner,16,For learning about current events,C – Use AI to explain a specific story.,Balanced AI use,3-4,2
60+,Beginner,17,For tracking fitness,A – Let AI control all your exercise routines.,High AI impact,1-2,0
60+,Beginner,17,For tracking fitness,B – Walk daily and use your own judgement.,Low-impact conscious use,5-6,1
60+,Beginner,17,For tracking fitness,"C – Use a step counter app, set your own goals.",Balanced AI use,3-4,2
60+,Beginner,18,For staying mentally active,"A – Do crosswords, read books, and socialise regularly.",Low-impact conscious use,5-6,2
60+,Beginner,18,For staying mentally active,B – Use AI for one new challenge each week.,Balanced AI use,3-4,1
60+,Beginner,18,For staying mentally active,C – Use AI for all puzzles and mental exercises.,High AI impact,1-2,0
60+,Beginner,19,For weather and travel info,A – Ask AI for a fully planned travel route.,High AI impact,1-2,0
60+,Beginner,19,For weather and travel info,B – Ask AI for the forecast and transport options.,Balanced AI use,3-4,2
60+,Beginner,19,For weather and travel info,C – Check weather on TV and ring for transport info.,Low-impact conscious use,5-6,1
60+,Beginner,20,For online safety for seniors,A – Attend a local digital safety session with family.,Low-impact conscious use,5-6,2
60+,Beginner,20,For online safety for seniors,B – Use AI to learn about staying safe online.,Balanced AI use,3-4,1
60+,Beginner,20,For online safety for seniors,C – Let AI manage all your online security.,High AI impact,1-2,0
60+,Intermediate,1,For managing health conditions,A – Work with your healthcare team and manage yourself.,Low-impact conscious use,5-6,2
60+,Intermediate,1,For managing health conditions,"B – Use AI for tracking and research, consult your doctor.",Balanced AI use,3-4,1
60+,Intermediate,1,For managing health conditions,C – Use AI to manage all health decisions.,High AI impact,1-2,0
60+,Intermediate,2,For learning new digital skills,A – Take a local digital skills course.,Low-impact conscious use,5-6,1
60+,Intermediate,2,For learning new digital skills,B – Use AI to do all digital tasks for you.,High AI impact,1-2,0
60+,Intermediate,2,For learning new digital skills,"C – Use AI for guided learning, practise yourself.",Balanced AI use,3-4,2
60+,Intermediate,3,For staying socially connected,"A – Use AI to help initiate contact, maintain real relationships.",Balanced AI use,3-4,1
60+,Intermediate,3,For staying socially connected,B – Use AI for all social interaction.,High AI impact,1-2,0
60+,Intermediate,3,For staying socially connected,"C – Call, meet, and write to people directly.",Low-impact conscious use,5-6,2
60+,Intermediate,4,For life memoir writing,"A – Use AI for structure and prompts, write in your own voice.",Balanced AI use,3-4,1
60+,Intermediate,4,For life memoir writing,B – Write your memoir entirely yourself.,Low-impact conscious use,5-6,2
60+,Intermediate,4,For life memoir writing,C – Use AI to write your entire memoir.,High AI impact,1-2,0
60+,Intermediate,5,For learning a new language,A – Take a language class and practise with real speakers.,Low-impact conscious use,5-6,2
60+,Intermediate,5,For learning a new language,B – Use AI for practice and pronunciation correction.,Balanced AI use,3-4,1
60+,Intermediate,5,For learning a new language,C – Use AI to translate everything for you.,High AI impact,1-2,0
60+,Intermediate,6,For genealogy research,"A – Use AI for database searches, interpret findings yourself.",Balanced AI use,3-4,2
60+,Intermediate,6,For genealogy research,B – Search family records and archives yourself.,Low-impact conscious use,5-6,1
60+,Intermediate,6,For genealogy research,C – Use AI to find and interpret all family history.,High AI impact,1-2,0
60+,Intermediate,7,For creative hobbies,"A – Use AI for inspiration, create everything yourself.",Balanced AI use,3-4,1
60+,Intermediate,7,For creative hobbies,B – Follow your creative instincts without AI.,Low-impact conscious use,5-6,2
60+,Intermediate,7,For creative hobbies,C – Use AI to create all your hobby outputs.,High AI impact,1-2,0
60+,Intermediate,8,For grandchildren education support,A – Ask AI to provide all educational help.,High AI impact,1-2,0
60+,Intermediate,8,For grandchildren education support,"B – Use AI for resources, explain and support directly.",Balanced AI use,3-4,1
60+,Intermediate,8,For grandchildren education support,C – Support grandchildren directly from your own knowledge.,Low-impact conscious use,5-6,2
60+,Intermediate,9,For managing multiple medications,A – Use a digital pill organiser with reminders.,Balanced AI use,3-4,2
60+,Intermediate,9,For managing multiple medications,B – Use a physical pill organiser and your own routine.,Low-impact conscious use,5-6,1
60+,Intermediate,9,For managing multiple medications,C – Use AI to manage all medication schedules.,High AI impact,1-2,0
60+,Intermediate,10,For cognitive health activities,A – Use AI for one new challenge regularly.,Balanced AI use,3-4,1
60+,Intermediate,10,For cognitive health activities,"B – Do puzzles, read, and socialise for brain health.",Low-impact conscious use,5-6,2
60+,Intermediate,10,For cognitive health activities,C – Use AI for all brain training.,High AI impact,1-2,0
60+,Intermediate,11,For travel research,A – Use a travel agent and plan the trip yourself.,Low-impact conscious use,5-6,1
60+,Intermediate,11,For travel research,"B – Use AI for destination options, plan the details yourself.",Balanced AI use,3-4,2
60+,Intermediate,11,For travel research,C – Let AI plan your entire trip.,High AI impact,1-2,0
60+,Intermediate,12,For volunteering and community,"A – Use AI for drafting messages, show up and engage yourself.",Balanced AI use,3-4,1
60+,Intermediate,12,For volunteering and community,B – Engage with your community entirely in person.,Low-impact conscious use,5-6,2
60+,Intermediate,12,For volunteering and community,C – Use AI to do all volunteering communications.,High AI impact,1-2,0
60+,Intermediate,13,For religious and spiritual content,"A – Use AI to find texts and resources, practise yourself.",Balanced AI use,3-4,1
60+,Intermediate,13,For religious and spiritual content,B – Engage with your faith community directly.,Low-impact conscious use,5-6,2
60+,Intermediate,13,For religious and spiritual content,C – Use AI for all religious study and practice.,High AI impact,1-2,0
60+,Intermediate,14,For housing and downsizing,A – Consult a property professional and your family.,Low-impact conscious use,5-6,2
60+,Intermediate,14,For housing and downsizing,"B – Use AI for market information, decide with family.",Balanced AI use,3-4,1
60+,Intermediate,14,For housing and downsizing,C – Let AI make all housing decisions.,High AI impact,1-2,0
60+,Intermediate,15,For legacy planning,"A – Use AI for information, work with a solicitor.",Balanced AI use,3-4,1
60+,Intermediate,15,For legacy planning,B – Work entirely with a solicitor and your family.,Low-impact conscious use,5-6,2
60+,Intermediate,15,For legacy planning,C – Let AI draft all your estate and legacy documents.,High AI impact,1-2,0
60+,Intermediate,16,For understanding investment basics,"A – Use AI for information, decide with a financial advisor.",Balanced AI use,3-4,1
60+,Intermediate,16,For understanding investment basics,B – Let AI make all investment decisions.,High AI impact,1-2,0
60+,Intermediate,16,For understanding investment basics,C – Work with a trusted financial advisor.,Low-impact conscious use,5-6,2
60+,Intermediate,17,For small business consulting,A – Apply your expertise without AI assistance.,Low-impact conscious use,5-6,1
60+,Intermediate,17,For small business consulting,"B – Use AI for research, apply your own expertise.",Balanced AI use,3-4,2
60+,Intermediate,17,For small business consulting,C – Use AI for all client advice.,High AI impact,1-2,0
60+,Intermediate,18,For environmental awareness,A – Use AI to manage all your sustainability choices.,High AI impact,1-2,0
60+,Intermediate,18,For environmental awareness,B – Make changes based on your own research and values.,Low-impact conscious use,5-6,1
60+,Intermediate,18,For environmental awareness,"C – Use AI for information, make your own choices.",Balanced AI use,3-4,2
